trade_date,ts_code,exalter,buy,buy_rate,sell,sell_rate,net_buy
20200701,000020,华泰证券股份有限公司南京草场门大街证券营业部,930.02,2.53,1067.87,2.9,-137.85
20200701,000020,中信建投证券股份有限公司广州体育东路证券营业部,809.62,2.2,706.94,1.92,102.68
20200701,000020,广发证券股份有限公司吴江仲英大道证券营业部,760.6,2.07,812.38,2.21,-51.78
20200701,000020,兴业证券股份有限公司深圳分公司,735.34,2.0,733.16,1.99,2.18
20200701,000020,华鑫证券有限责任公司上海分公司,547.25,1.49,584.68,1.59,-37.42
20200701,000020,华泰证券股份有限公司南京草场门大街证券营业部,930.02,2.53,1067.87,2.9,-137.85
20200701,000020,广发证券股份有限公司吴江仲英大道证券营业部,760.6,2.07,812.38,2.21,-51.78
20200701,000020,兴业证券股份有限公司深圳分公司,735.34,2.0,733.16,1.99,2.18
20200701,000020,中信建投证券股份有限公司广州体育东路证券营业部,809.62,2.2,706.94,1.92,102.68
20200701,000020,华鑫证券有限责任公司上海分公司,547.25,1.49,584.68,1.59,-37.42
20200701,000426,上海证券有限责任公司深圳民田路证券营业部,4180.4,5.1,0.0,0.0,4180.4
20200701,000426,国金证券股份有限公司上海浦东新区芳甸路证券营业部,3697.77,4.51,254.9,0.31,3442.86
20200701,000426,华泰证券股份有限公司深圳深南大道证券营业部,1863.02,2.27,17.73,0.02,1845.29
20200701,000426,中信证券股份有限公司上海东方路证券营业部,1721.19,2.1,38.82,0.05,1682.36
20200701,000426,华鑫证券有限责任公司上海自贸试验区分公司,1523.44,1.86,13.44,0.02,1510.0
20200701,000426,中国国际金融股份有限公司上海黄浦区湖滨路证券营业部,500.62,0.61,3352.8,4.09,-2852.18
20200701,000426,机构专用,0.0,0.0,2350.5,2.87,-2350.5
20200701,000426,光大证券股份有限公司武汉紫阳路证券营业部,1214.79,1.48,1836.87,2.24,-622.08
20200701,000426,太平洋证券股份有限公司内蒙古分公司,297.66,0.36,1614.45,1.97,-1316.79
20200701,000426,华泰证券股份有限公司上海奉贤区望园南路证券营业部,482.0,0.59,1577.94,1.92,-1095.94
20200701,000501,长江证券股份有限公司上海威海路证券营业部,2350.09,2.54,2049.75,2.21,300.35
20200701,000501,机构专用,2099.84,2.27,781.17,0.84,1318.67
20200701,000501,东方证券股份有限公司南京北京东路证券营业部,2013.63,2.17,0.0,0.0,2013.63
20200701,000501,国泰君安证券股份有限公司广州人民中路证券营业部,1762.92,1.9,2060.73,2.22,-297.81
20200701,000501,财通证券股份有限公司杭州解放东路证券营业部,1722.17,1.86,34.8,0.04,1687.37
20200701,000501,中信证券股份有限公司杭州延安路证券营业部,937.22,1.01,4805.34,5.18,-3868.12
20200701,000501,天风证券股份有限公司上海浦明路证券营业部,411.61,0.44,2521.07,2.72,-2109.45
20200701,000501,机构专用,0.0,0.0,2341.15,2.53,-2341.15
20200701,000501,国信证券股份有限公司深圳泰然九路证券营业部,448.97,0.48,2156.29,2.33,-1707.32
20200701,000501,国泰君安证券股份有限公司广州人民中路证券营业部,1762.92,1.9,2060.73,2.22,-297.81
20200701,000568,机构专用,25699.91,5.94,0.0,0.0,25699.91
20200701,000568,机构专用,18744.31,4.33,0.0,0.0,18744.31
20200701,000568,中国国际金融股份有限公司上海黄浦区湖滨路证券营业部,15902.05,3.68,547.67,0.13,15354.38
20200701,000568,机构专用,9822.96,2.27,0.0,0.0,9822.96
20200701,000568,机构专用,9740.64,2.25,0.0,0.0,9740.64
20200701,000568,机构专用,0.0,0.0,8785.18,2.03,-8785.18
20200701,000568,机构专用,0.0,0.0,6747.68,1.56,-6747.68
20200701,000568,中信证券股份有限公司上海世纪大道证券营业部,200.11,0.05,6562.71,1.52,-6362.6
20200701,000568,海通证券股份有限公司鸡西中心大街证券营业部,0.99,0.0,5005.14,1.16,-5004.14
20200701,000568,机构专用,0.0,0.0,4008.96,0.93,-4008.96
20200701,000656,华泰证券股份有限公司上海普陀区江宁路证券营业部,5375.15,6.3,3.09,0.0,5372.06
20200701,000656,东方财富证券股份有限公司拉萨团结路第二证券营业部,1798.17,2.11,65.23,0.08,1732.95
20200701,000656,中国中金财富证券有限公司济宁环城西路证券营业部,1747.72,2.05,0.0,0.0,1747.72
20200701,000656,中银国际证券股份有限公司上海新华路证券营业部,1735.14,2.03,30.71,0.04,1704.43
20200701,000656,机构专用,1638.17,1.92,0.0,0.0,1638.17
20200701,000656,机构专用,0.0,0.0,9451.59,11.07,-9451.59
20200701,000656,国泰君安证券股份有限公司天津滨海新区黄海路证券营业部,1.96,0.0,7903.0,9.26,-7901.05
20200701,000656,国盛证券有限责任公司南昌象山南路证券营业部,0.0,0.0,1333.24,1.56,-1333.24
20200701,000656,光大证券股份有限公司重庆民权路证券营业部,30.45,0.04,1264.78,1.48,-1234.33
20200701,000656,华福证券有限责任公司深圳裕安路证券营业部,0.0,0.0,1045.96,1.23,-1045.96
20200701,000799,财信证券有限责任公司杭州西湖国贸中心证券营业部,4705.39,2.0,0.0,0.0,4705.39
20200701,000799,爱建证券有限责任公司江苏分公司,3362.62,1.43,0.0,0.0,3362.62
20200701,000799,东方财富证券股份有限公司拉萨团结路第一证券营业部,2214.58,0.94,1930.36,0.82,284.22
20200701,000799,中信建投证券股份有限公司泰州青年路证券营业部,2109.12,0.89,447.14,0.19,1661.98
20200701,000799,华西证券股份有限公司厦门分公司,1973.13,0.84,2002.79,0.85,-29.66
20200701,000799,招商证券股份有限公司深圳深南东路证券营业部,1433.41,0.61,3575.27,1.52,-2141.86
20200701,000799,机构专用,0.0,0.0,2420.65,1.03,-2420.65
20200701,000799,中国银河证券股份有限公司厦门美湖路证券营业部,160.06,0.07,2377.11,1.01,-2217.05
20200701,000799,机构专用,0.0,0.0,2357.29,1.0,-2357.29
20200701,000799,机构专用,0.0,0.0,2278.6,0.97,-2278.6
20200701,000799,财信证券有限责任公司杭州西湖国贸中心证券营业部,4705.39,2.0,0.0,0.0,4705.39
20200701,000799,爱建证券有限责任公司江苏分公司,3362.62,1.43,0.0,0.0,3362.62
20200701,000799,东方财富证券股份有限公司拉萨团结路第一证券营业部,2214.58,0.94,1930.36,0.82,284.22
20200701,000799,中信建投证券股份有限公司泰州青年路证券营业部,2109.12,0.89,447.14,0.19,1661.98
20200701,000799,华西证券股份有限公司厦门分公司,1973.13,0.84,2002.79,0.85,-29.66
20200701,000799,招商证券股份有限公司深圳深南东路证券营业部,1433.41,0.61,3575.27,1.52,-2141.86
20200701,000799,机构专用,0.0,0.0,2420.65,1.03,-2420.65
20200701,000799,中国银河证券股份有限公司厦门美湖路证券营业部,160.06,0.07,2377.11,1.01,-2217.05
20200701,000799,机构专用,0.0,0.0,2357.29,1.0,-2357.29
20200701,000799,机构专用,0.0,0.0,2278.6,0.97,-2278.6
20200701,000835,长江证券股份有限公司宜昌云集路证券营业部,33.42,13.85,0.0,0.0,33.42
20200701,000835,东吴证券股份有限公司苏州相城采莲路证券营业部,17.3,7.17,0.0,0.0,17.3
20200701,000835,德邦证券股份有限公司上海志丹路证券营业部,12.37,5.13,0.0,0.0,12.37
20200701,000835,平安证券股份有限公司江西分公司,9.39,3.89,0.0,0.0,9.39
20200701,000835,东兴证券股份有限公司泉州丰泽街证券营业部,7.5,3.11,0.0,0.0,7.5
20200701,000835,财通证券股份有限公司新昌环城南路证券营业部,0.0,0.0,41.45,17.17,-41.45
20200701,000835,上海证券有限责任公司高安路证券营业部,0.0,0.0,40.0,16.57,-40.0
20200701,000835,国泰君安证券股份有限公司成都双庆路证券营业部,0.0,0.0,29.87,12.38,-29.87
20200701,000835,中国中金财富证券有限公司绵阳临园路证券营业部,0.0,0.0,16.3,6.75,-16.3
20200701,000835,方正证券股份有限公司岳阳华容迎宾北路证券营业部,0.0,0.0,15.95,6.61,-15.95
20200701,002049,机构专用,30916.77,6.15,0.0,0.0,30916.77
20200701,002049,机构专用,27094.61,5.39,0.0,0.0,27094.61
20200701,002049,中信证券股份有限公司上海分公司,17648.43,3.51,0.0,0.0,17648.43
20200701,002049,南京证券股份有限公司南京大钟亭证券营业部,17098.71,3.4,21.34,0.0,17077.36
20200701,002049,机构专用,16197.92,3.22,0.0,0.0,16197.92
20200701,002049,渤海证券股份有限公司北京西外大街证券营业部,73.67,0.01,9656.4,1.92,-9582.73
20200701,002049,海通证券股份有限公司北京中关村南大街证券营业部,8.65,0.0,9052.57,1.8,-9043.93
20200701,002049,东方证券股份有限公司上海浦东新区源深路证券营业部,5387.45,1.07,4937.46,0.98,449.99
20200701,002049,招商证券股份有限公司深圳深南东路证券营业部,3576.87,0.71,4718.62,0.94,-1141.74
20200701,002049,招商证券股份有限公司深圳后海证券营业部,588.4,0.12,4606.49,0.92,-4018.09
20200701,002071,广发证券股份有限公司北京阜成门南大街证券营业部,56.76,11.21,0.0,0.0,56.76
20200701,002071,长城证券股份有限公司前海分公司,45.53,8.99,2.25,0.44,43.28
20200701,002071,首创证券有限责任公司北京北辰东路证券营业部,20.45,4.04,0.0,0.0,20.45
20200701,002071,红塔证券股份有限公司曲靖翠峰东路证券营业部,12.96,2.56,0.0,0.0,12.96
20200701,002071,浙商证券股份有限公司杭州杭大路证券营业部,12.9,2.55,0.0,0.0,12.9
20200701,002071,中国中金财富证券有限公司天津北马路证券营业部,0.0,0.0,67.93,13.41,-67.93
20200701,002071,西南证券股份有限公司重庆渝碚路证券营业部,0.0,0.0,39.34,7.77,-39.34
20200701,002071,中国中金财富证券有限公司承德翠桥路证券营业部,0.0,0.0,20.24,4.0,-20.24
