trade_date,ts_code,exalter,buy,buy_rate,sell,sell_rate,net_buy
20200702,000011.SZ,机构专用,1666.42,2.62,0.0,0.0,1666.42
20200702,000011.SZ,机构专用,829.37,1.3,0.0,0.0,829.37
20200702,000011.SZ,中银国际证券股份有限公司深圳中心四路证券营业部,708.03,1.11,31.64,0.05,676.4
20200702,000011.SZ,东方财富证券股份有限公司拉萨团结路第二证券营业部,500.28,0.79,753.71,1.19,-253.43
20200702,000011.SZ,平安证券股份有限公司深圳深南东路罗湖商务中心证券营业部,493.17,0.78,449.57,0.71,43.6
20200702,000011.SZ,机构专用,0.0,0.0,2208.94,3.47,-2208.94
20200702,000011.SZ,新时代证券股份有限公司信阳北京大街证券营业部,10.01,0.02,1561.38,2.46,-1551.37
20200702,000011.SZ,湘财证券股份有限公司北京建国门内大街证券营业部,0.0,0.0,1506.87,2.37,-1506.87
20200702,000011.SZ,华安证券股份有限公司蚌埠分公司,0.0,0.0,1027.76,1.62,-1027.76
20200702,000011.SZ,机构专用,0.0,0.0,1000.5,1.57,-1000.5
20200702,000656.SZ,机构专用,12392.5,9.05,0.0,0.0,12392.5
20200702,000656.SZ,深股通专用,8695.49,6.35,13653.72,9.97,-4958.24
20200702,000656.SZ,兴业证券股份有限公司深圳分公司,4737.42,3.46,0.93,0.0,4736.49
20200702,000656.SZ,华泰证券股份有限公司深圳益田路荣超商务中心证券营业部,3560.39,2.6,11.46,0.01,3548.93
20200702,000656.SZ,机构专用,2973.51,2.17,0.0,0.0,2973.51
20200702,000656.SZ,深股通专用,8695.49,6.35,13653.72,9.97,-4958.24
20200702,000656.SZ,机构专用,24.8,0.02,7522.19,5.49,-7497.39
20200702,000656.SZ,国泰君安证券股份有限公司天津滨海新区黄海路证券营业部,0.0,0.0,7466.31,5.45,-7466.31
20200702,000656.SZ,华泰证券股份有限公司上海普陀区江宁路证券营业部,0.49,0.0,5620.43,4.1,-5619.93
20200702,000656.SZ,中国银河证券股份有限公司青田龙津路证券营业部,2.2,0.0,3422.23,2.5,-3420.04
20200702,000662.SZ,中泰证券股份有限公司电子商务分公司,17.29,5.26,0.0,0.0,17.29
20200702,000662.SZ,东方证券股份有限公司太原高新街证券营业部,14.44,4.39,0.0,0.0,14.44
20200702,000662.SZ,广发证券股份有限公司深圳后海证券营业部,11.2,3.41,0.0,0.0,11.2
